# MIDI-OD — filters open, gain max, VOL MAX, 0V bias. Grounded. Peak -9 dB @ ~1.1 kHz
# (bandpass voicing). Range vs mute ~51 dB midband. Peak ≈ -3.3 dB re bypass.
Frequency (Hz)	Channel 1 Magnitude (dB)
20.00000000000002	-41.02349689854326
20.949044720012687	-39.95239336541103
21.943123734054545	-38.886511448055685
22.984374020074018	-40.029592729974624
24.07503396040139	-39.05245801368682
25.217448153613617	-38.076196133657774
26.414072454732622	-37.06102722193036
27.667479254592443	-36.04191693906994
28.980363009724016	-35.05802663090354
30.35554603464546	-34.13682221410498
31.79598456900954	-33.202126049611074
33.304775132650676	-32.30115017090823
34.885161182193265	-31.4173993205032
36.54054008353083	-30.55632468401912
38.274470415165126	-29.748091371144383
40.090679618104794	-28.95260151709762
41.99307200876892	-28.164705010026758
43.98573717212061	-27.416843621376362
46.07295875307394	-26.687657406037587
48.25922366507225	-25.98261807579599
50.54923173563459	-25.28342248775988
52.94790580960467	-24.614242354695634
55.46040233182133	-23.953438948818423
58.09212243196098	-23.314443271796804
60.84872353538007	-22.691313564482947
63.736131524918264	-22.069638740686838
66.76055347980609	-21.471310765206987
69.92849101906273	-20.88089504252425
73.24675427806746	-20.30660491166014
76.72247654835078	-19.745115024299636
80.36312961207615	-19.205217036689643
84.17653980417796	-18.68310548095047
88.1709048366825	-18.197347432594412
92.35481142138212	-17.75450320985209
96.73725372874362	-17.349919316704092
101.3276527227331	-16.97688443840405
106.13587641312242	-16.633603260497985
111.17226106881193	-16.312130967313063
116.44763343777332	-16.01240268992141
121.97333402137775	-15.720856735352404
127.76124145314438	-15.440415371001437
133.82379803431272	-15.164275245901155
140.17403648113813	-14.89844815120653
146.82560794140247	-14.635221652319299
153.79281134037447	-14.375222239976482
161.09062411929878	-14.11605893894631
168.73473443249705	-13.864954368369204
176.74157487229203	-13.615703285009843
185.1283577942558	-13.373091880938883
193.9131123187187	-13.136486878948224
203.11472308808362	-12.90483893462194
212.75297086326282	-12.682519284227364
222.84857504650208	-12.4712747244261
233.42323822201374	-12.267632619273662
244.49969281015663	-12.075905924160761
256.1017499354667	-11.890173060296716
268.2543506135798	-11.719350130260725
280.983619367092	-11.557635563365185
294.31692038561147	-11.402500080117244
308.28291635072907	-11.255889002759075
322.91163005236746	-11.119864406285087
338.2345089289616	-10.988331703418549
354.2844926702173	-10.862974943330846
371.0960840277688	-10.739964520031506
388.70542298596564	-10.621969649440626
407.1503644522215	-10.501970323941165
426.47055963395246	-10.385755259237623
446.70754127702514	-10.27139268107758
467.9048129489651	-10.158083441838707
490.1079425588518	-10.046068588342427
513.3646603149392	-9.937640094891247
537.7249613305888	-9.828147990259948
563.2412130990792	-9.723260688235554
589.9682680683403	-9.624511598789615
617.9635815576037	-9.53302204569413
647.2873352694722	-9.446243659014577
678.0025666629001	-9.369397941386325
710.1753044652235	-9.2990216078224
743.8747106145288	-9.235197123995757
779.1732289375125	-9.183230190407933
816.1467408824307	-9.136601920988806
854.8747286419318	-9.096613002419982
895.440446016426	-9.068745721460058
937.9310973853102	-9.04462346696059
982.4380251707706	-9.026302320211377
1029.0569061971707	-9.018367871438562
1077.8879573681213	-9.011791046690103
1129.0361511033936	-9.010375705251944
1182.611440998799	-9.011329270791826
1238.728998194123	-9.015683711535909
1297.509458957259	-9.026395382947571
1359.0791840167526	-9.044022219883205
1423.5705302002643	-9.06028777996661
1491.1221349628736	-9.081503567350406
1561.8792144169008	-9.107936851510148
1635.9938755038952	-9.144758807130035
1713.6254429798971	-9.182308805462556
1794.9408019168688	-9.224892276375488
1880.1147564565958	-9.277695626843663
1969.3304055882481	-9.335774884365543
2062.779536757444	-9.400849613920272
2160.6630381529358	-9.481276047144135
2263.1913305572148	-9.571249287078496
2370.584819689403	-9.669178557118668
2483.0743700128237	-9.781700005585854
2600.901801025796	-9.914090914606525
2724.3204071025452	-10.063430047009183
2853.595502001717	-10.228318351168056
2989.0049892130482	-10.408389940007364
3130.839959368259	-10.622562069638231
3279.405316000415	-10.862857759871778
3435.0204309969986	-11.144966266844403
3598.0198311556655	-11.493697507994503
3768.7539173186237	-11.836893680329197
3947.5897176315384	-12.208467946519526
4134.911676546264	-12.586397783460544
4331.122481263513	-12.972870314793036
4536.643927392077	-13.362942708779013
4751.917825685527	-13.755345084083839
4977.406951805573	-14.15559958702228
5213.596041153845	-14.560079267101283
5460.992830910649	-14.96936856494327
5720.129151520789	-15.38939179636351
5991.562069972855	-15.799865490775618
6275.875087329652	-16.228469751220572
6573.679393084113	-16.6436303087201
6885.615179037241	-17.07534306191895
7212.35301552246	-17.53356124943957
7554.595292934912	-17.961407188591686
7913.077731664534	-18.424396819782586
8288.570963678836	-18.87435495430872
8681.882189155322	-19.352036100274038
9093.856911724824	-19.829882208042985
9525.380756055982	-20.316186043934245
9977.381371688241	-20.830851137168438
10450.830427205914	-21.344172674156873
10946.745699040292	-21.867913634190103
11466.19325939007	-22.38539174187369
12010.28976796352	-22.922556030141354
12580.204872468916	-23.47607539936051
13177.16372301363	-24.033881657719405
13802.449605817057	-24.615335728909855
14457.40670189914	-25.220133792119363
15143.442976674796	-25.825856662450356
15862.033206666116	-26.474416039120477
16614.722149838723	-27.14748000757901
17403.127866377818	-27.83730480797474
18228.94519704238	-28.524814062417466
19093.949406575044	-29.21382468082637
20000	-30.00512589913623
