# MIDI-OD — filters open, gain max, VOL MIN (mute), 0V bias. Grounded (true floor).
# ~-60 to -66 dB. This is the real VCA noise floor, not crosstalk.
Frequency (Hz)	Channel 1 Magnitude (dB)
20.00000000000002	-65.92773109903726
20.949044720012687	-64.98406702295495
21.943123734054545	-65.07743856941656
22.984374020074018	-65.76581281153275
24.07503396040139	-65.00019782513549
25.217448153613617	-64.86311927242474
26.414072454732622	-65.85396212655743
27.667479254592443	-65.11649305207044
28.980363009724016	-65.1739655610732
30.35554603464546	-65.48378488851523
31.79598456900954	-64.93826743178535
33.304775132650676	-65.56613664558186
34.885161182193265	-65.57341393785578
36.54054008353083	-65.39415643781834
38.274470415165126	-65.01007998523859
40.090679618104794	-65.66623031172496
41.99307200876892	-64.86020668758383
43.98573717212061	-65.36864774162179
46.07295875307394	-65.80209954952157
48.25922366507225	-65.1423271490714
50.54923173563459	-65.27665365086564
52.94790580960467	-65.24740331663102
55.46040233182133	-64.76019533251123
58.09212243196098	-65.13486900501843
60.84872353538007	-65.84422075454842
63.736131524918264	-64.47768498180609
66.76055347980609	-65.43446025753386
69.92849101906273	-64.8086711562346
73.24675427806746	-65.34377468112368
76.72247654835078	-65.03794992992509
80.36312961207615	-65.08514466856981
84.17653980417796	-64.98551936920664
88.1709048366825	-65.35751865414557
92.35481142138212	-64.97024408878809
96.73725372874362	-64.12305899871303
101.3276527227331	-64.76027773313437
106.13587641312242	-65.27361686818283
111.17226106881193	-64.54947775210248
116.44763343777332	-65.10520824381553
121.97333402137775	-64.83185101798391
127.76124145314438	-64.84154694104885
133.82379803431272	-64.55022938459763
140.17403648113813	-64.5822723090187
146.82560794140247	-64.3539616110873
153.79281134037447	-64.07005403026542
161.09062411929878	-64.4816792664353
168.73473443249705	-64.15028415863165
176.74157487229203	-64.16366943133983
185.1283577942558	-64.23079148448417
193.9131123187187	-63.78651953286351
203.11472308808362	-64.01401954744465
212.75297086326282	-63.351983476704355
222.84857504650208	-64.05284610385613
233.42323822201374	-63.77600630372176
244.49969281015663	-63.7460784485216
256.1017499354667	-63.39393244847532
268.2543506135798	-63.148983583874056
280.983619367092	-63.3871669210492
294.31692038561147	-63.24987811196932
308.28291635072907	-63.17920158464898
322.91163005236746	-63.806848783312624
338.2345089289616	-63.30169901643522
354.2844926702173	-62.81521461693935
371.0960840277688	-63.21864201750911
388.70542298596564	-63.01429250215346
407.1503644522215	-63.048895143429185
426.47055963395246	-62.473232632140885
446.70754127702514	-62.31474947012893
467.9048129489651	-62.555797464929384
490.1079425588518	-62.209670581206744
513.3646603149392	-61.786223168521
537.7249613305888	-62.5022740954719
563.2412130990792	-62.02756920669658
589.9682680683403	-61.77264192517826
617.9635815576037	-61.42786614202934
647.2873352694722	-61.556742329001246
678.0025666629001	-61.54578727602797
710.1753044652235	-61.23722341827448
743.8747106145288	-61.83608912768048
779.1732289375125	-61.219613795578525
816.1467408824307	-61.306290730798246
854.8747286419318	-61.38250061818858
895.440446016426	-60.72087546089445
937.9310973853102	-60.97732683352347
982.4380251707706	-61.34733746035675
1029.0569061971707	-60.75860969258554
1077.8879573681213	-60.82800593083319
1129.0361511033936	-60.847308626230316
1182.611440998799	-60.34141400156453
1238.728998194123	-60.749216793463454
1297.509458957259	-60.38785536787436
1359.0791840167526	-60.67292614599798
1423.5705302002643	-60.6575115499605
1491.1221349628736	-60.321808385578976
1561.8792144169008	-60.24118347977008
1635.9938755038952	-60.18018480122828
1713.6254429798971	-60.455430326687186
1794.9408019168688	-60.25372137302034
1880.1147564565958	-60.039348699729445
1969.3304055882481	-59.903901831559736
2062.779536757444	-59.72583435702789
2160.6630381529358	-59.73143391314273
2263.1913305572148	-60.59108043964869
2370.584819689403	-59.81908925033018
2483.0743700128237	-59.91536128337806
2600.901801025796	-59.94981080577483
2724.3204071025452	-59.81911546160649
2853.595502001717	-59.80816114784918
2989.0049892130482	-59.386304775923904
3130.839959368259	-59.30940918937321
3279.405316000415	-60.01025646032099
3435.0204309969986	-59.64796159731815
3598.0198311556655	-59.63262099118262
3768.7539173186237	-60.044770103542014
3947.5897176315384	-59.21754353185033
4134.911676546264	-59.63772499535753
4331.122481263513	-60.231171758053826
4536.643927392077	-59.539252427739726
4751.917825685527	-59.46980961416899
4977.406951805573	-59.43032970230101
5213.596041153845	-59.27527200137146
5460.992830910649	-59.61764960389394
5720.129151520789	-59.20043337062245
5991.562069972855	-58.99311892686691
6275.875087329652	-59.11705337145471
6573.679393084113	-59.28900673303516
6885.615179037241	-58.945352661080165
7212.35301552246	-59.31708819254618
7554.595292934912	-59.10387709044461
7913.077731664534	-58.93974121920968
8288.570963678836	-58.90315085343807
8681.882189155322	-59.10326366470847
9093.856911724824	-59.651314834542404
9525.380756055982	-59.084414678508836
9977.381371688241	-59.0983495143261
10450.830427205914	-58.942300409615
10946.745699040292	-59.65257867753846
11466.19325939007	-59.01442964102365
12010.28976796352	-59.22107572472191
12580.204872468916	-59.45042121639092
13177.16372301363	-58.861155557870106
13802.449605817057	-58.95537902869932
14457.40670189914	-58.936644514186376
15143.442976674796	-58.98413277898747
15862.033206666116	-59.00599474506934
16614.722149838723	-59.83873014731188
17403.127866377818	-59.961326581181794
18228.94519704238	-60.73752252188888
19093.949406575044	-59.96345685763827
20000	-60.010292065197994
