# Tube Screamer — BYPASS (reference). Digilent Mikes_AD3 / WaveForms Bode.
# ~-2.8 dB flat. Use as the TS unity anchor.
Frequency (Hz)	Channel 1 Magnitude (dB)
20	-4.29885907454
20.942570961	-4.10075116448
21.9295639229	-3.9383004845
22.9630724299	-3.79904612382
24.0452886923	-3.67955550956
25.1785082359	-3.57262639996
26.3651347711	-3.48039550011
27.6076852921	-3.39839064433
28.9087954149	-3.32459780673
30.2712249687	-3.25754377485
31.6978638492	-3.20007082676
33.1917381488	-3.14925186231
34.756016575	-3.10341496701
36.3940171722	-3.06091518937
38.1092143593	-3.02533304462
39.9052462994	-2.99216149806
41.7859226171	-2.96233093127
43.755232479	-2.9379432444
45.8173530554	-2.91370894665
47.9766583804	-2.89478629175
50.2377286302	-2.87644786992
52.6053598379	-2.8608345027
55.0845740668	-2.84658547311
57.6806300625	-2.83579072995
60.399034408	-2.82446742396
63.2455532034	-2.81591666167
66.2262242965	-2.80655044533
69.3473700905	-2.80059291638
72.615610954	-2.79676499162
76.0378792641	-2.79175243805
79.6214341107	-2.78802904614
83.3738766941	-2.78634699438
87.303166448	-2.78395254958
91.417637923	-2.77939327973
95.7260184645	-2.78130526663
100.237446725	-2.78233308618
104.96149205	-2.78061337307
109.908174772	-2.78088011724
115.087987467	-2.78103235344
120.511917215	-2.78278303228
126.191468896	-2.78414121105
132.138689602	-2.78438361539
138.366194184	-2.78457418037
144.887192015	-2.78531724395
151.715515006	-2.7874203859
158.865646945	-2.79065646527
166.352754221	-2.79244924199
174.192717991	-2.79412653498
182.402167871	-2.79669016298
190.998517204	-2.80023092866
200	-2.80122831666
209.42570961	-2.80403466566
219.295639229	-2.80457025895
229.630724299	-2.80853714057
240.452886923	-2.81079550095
251.785082359	-2.81378679681
263.651347711	-2.81503753407
276.076852921	-2.81810274171
289.087954149	-2.81916896385
302.712249687	-2.82199833157
316.978638492	-2.82398948432
331.917381488	-2.82681401028
347.56016575	-2.82690514416
363.940171722	-2.82870790426
381.092143593	-2.83113442626
399.052462994	-2.83478908592
417.859226171	-2.83621603008
437.55232479	-2.8362101701
458.173530554	-2.83847068123
479.766583804	-2.83911520177
502.377286302	-2.84014146556
526.053598379	-2.84218080901
550.845740668	-2.84353153102
576.806300625	-2.84449188439
603.99034408	-2.84562097767
632.455532034	-2.84531693135
662.262242965	-2.84637293746
693.473700905	-2.84729002947
726.15610954	-2.84656561203
760.378792641	-2.84776361108
796.214341107	-2.84712229162
833.738766941	-2.84808986004
873.03166448	-2.84833975671
914.17637923	-2.84761596654
957.260184645	-2.84732495694
1002.37446725	-2.84738929558
1049.6149205	-2.84572075232
1099.08174772	-2.84632177582
1150.87987467	-2.84727293855
1205.11917215	-2.84511082043
1261.91468896	-2.84611214043
1321.38689602	-2.84504465115
1383.66194184	-2.84677898047
1448.87192015	-2.84577481802
1517.15515006	-2.84380232154
1588.65646945	-2.84333932891
1663.52754221	-2.84242199473
1741.92717991	-2.84078796591
1824.02167871	-2.84133641367
1909.98517204	-2.84037189847
2000	-2.83181842657
2094.2570961	-2.8501734522
2192.95639229	-2.83578800738
2296.30724299	-2.83343738429
2404.52886923	-2.83222407459
2517.85082359	-2.83065859671
2636.51347711	-2.83564921986
2760.76852921	-2.82858318258
2890.87954149	-2.82460106772
3027.12249687	-2.82595633957
3169.78638492	-2.82191825212
3319.17381488	-2.8180357096
3475.6016575	-2.83066572907
3639.40171722	-2.81554778391
3810.92143593	-2.80987575645
3990.52462994	-2.81007290245
4178.59226171	-2.8138698517
4375.5232479	-2.81931936175
4581.73530554	-2.8129697527
4797.66583804	-2.81418771728
5023.77286302	-2.80505962762
5260.53598379	-2.79626806436
5508.45740668	-2.78844242993
5768.06300625	-2.78939218611
6039.9034408	-2.78506846919
6324.55532034	-2.78898292248
6622.62242965	-2.7808102676
6934.73700905	-2.7775442316
7261.5610954	-2.7786069001
7603.78792641	-2.76985462115
7962.14341107	-2.77351710595
8337.38766941	-2.77449979
8730.3166448	-2.76737690248
9141.7637923	-2.77994725293
9572.60184645	-2.7662250324
10023.7446725	-2.77265400676
10496.149205	-2.76478465576
10990.8174772	-2.76135711163
11508.7987467	-2.76286088087
12051.1917215	-2.76258937663
12619.1468896	-2.77339419395
13213.8689602	-2.7651716383
13836.6194184	-2.7608012765
14488.7192015	-2.76603552305
15171.5515006	-2.7680820678
15886.5646945	-2.76333230951
16635.2754221	-2.7649900293
17419.2717991	-2.76336412338
18240.2167871	-2.76522022455
19099.8517204	-2.76280750653
20000	-2.76367681419
