# Tube Screamer — Drive max, Tone 1 o'clock, Level 12:00 (~50%). -7.6 dB re Level-max.
Frequency (Hz)	Channel 1 Magnitude (dB)
20	-14.3421423141
20.942570961	-14.0937459247
21.9295639229	-13.8902477619
22.9630724299	-13.7192947622
24.0452886923	-13.5625333013
25.1785082359	-13.4208117416
26.3651347711	-13.2950983925
27.6076852921	-13.1741702143
28.9087954149	-13.0635726787
30.2712249687	-12.9713050021
31.6978638492	-12.8854827191
33.1917381488	-12.8057566039
34.756016575	-12.7279282247
36.3940171722	-12.6546094486
38.1092143593	-12.5917386734
39.9052462994	-12.5305674695
41.7859226171	-12.4748704453
43.755232479	-12.4221688666
45.8173530554	-12.3717611735
47.9766583804	-12.3239634936
50.2377286302	-12.2796169475
52.6053598379	-12.2393121454
55.0845740668	-12.1974598794
57.6806300625	-12.1569765796
60.399034408	-12.1180985341
63.2455532034	-12.0800782944
66.2262242965	-12.0419652216
69.3473700905	-12.0086903282
72.615610954	-11.9709946491
76.0378792641	-11.9367049873
79.6214341107	-11.9032313109
83.3738766941	-11.8677758605
87.303166448	-11.835644874
91.417637923	-11.8006343629
95.7260184645	-11.7694831127
100.237446725	-11.742922189
104.96149205	-11.7119273238
109.908174772	-11.6840565857
115.087987467	-11.6544576477
120.511917215	-11.6279591015
126.191468896	-11.5991478432
132.138689602	-11.5718081574
138.366194184	-11.5490959916
144.887192015	-11.5224535303
151.715515006	-11.4939532502
158.865646945	-11.4684733638
166.352754221	-11.4431371158
174.192717991	-11.415612076
182.402167871	-11.3905414326
190.998517204	-11.3613353312
200	-11.3382527865
209.42570961	-11.3140022295
219.295639229	-11.2872510876
229.630724299	-11.2643148905
240.452886923	-11.244663973
251.785082359	-11.2267744285
263.651347711	-11.210065022
276.076852921	-11.1952105405
289.087954149	-11.1869723366
302.712249687	-11.1829725107
316.978638492	-11.1823074569
331.917381488	-11.1888237181
347.56016575	-11.2043927931
363.940171722	-11.2299978528
381.092143593	-11.271015242
399.052462994	-11.3262769804
417.859226171	-11.3921015586
437.55232479	-11.4670517326
458.173530554	-11.5509388358
479.766583804	-11.6404059949
502.377286302	-11.7415235869
526.053598379	-11.8470919671
550.845740668	-11.9695745059
576.806300625	-12.0952845984
603.99034408	-12.229584131
632.455532034	-12.3741607083
662.262242965	-12.5312671748
693.473700905	-12.6949304057
726.15610954	-12.8716081076
760.378792641	-13.0566389518
796.214341107	-13.253451994
833.738766941	-13.4611520414
873.03166448	-13.6776925557
914.17637923	-13.9041357198
957.260184645	-14.1401743273
1002.37446725	-14.3858000245
1049.6149205	-14.6463750187
1099.08174772	-14.9101898295
1150.87987467	-15.1824391456
1205.11917215	-15.4647845429
1261.91468896	-15.7555253907
1321.38689602	-16.0494848942
1383.66194184	-16.3500218441
1448.87192015	-16.6609313504
1517.15515006	-16.9771738386
1588.65646945	-17.2992315533
1663.52754221	-17.6312748312
1741.92717991	-17.9646633686
1824.02167871	-18.3055022019
1909.98517204	-18.6523658967
2000	-19.0029799297
2094.2570961	-19.3635168178
2192.95639229	-19.7156461008
2296.30724299	-20.0785806389
2404.52886923	-20.4471934279
2517.85082359	-20.8167724499
2636.51347711	-21.209114868
2760.76852921	-21.5949101192
2890.87954149	-21.9715798514
3027.12249687	-22.345664069
3169.78638492	-22.7356224665
3319.17381488	-23.1238048991
3475.6016575	-23.5099324506
3639.40171722	-23.8947895517
3810.92143593	-24.2953169194
3990.52462994	-24.6791021619
4178.59226171	-25.0687959676
4375.5232479	-25.4867029476
4581.73530554	-25.8924794689
4797.66583804	-26.2953334406
5023.77286302	-26.6971510038
5260.53598379	-27.0982854935
5508.45740668	-27.5329560705
5768.06300625	-27.9336400155
6039.9034408	-28.3506890324
6324.55532034	-28.7570101309
6622.62242965	-29.1712098131
6934.73700905	-29.5958677383
7261.5610954	-30.0264197007
7603.78792641	-30.4552290118
7962.14341107	-30.9030904685
8337.38766941	-31.3334602873
8730.3166448	-31.7660173071
9141.7637923	-32.2284696281
9572.60184645	-32.6824955388
10023.7446725	-33.1716408826
10496.149205	-33.6297905056
10990.8174772	-34.1037125047
11508.7987467	-34.5906634853
12051.1917215	-35.0634305528
12619.1468896	-35.5703087082
13213.8689602	-36.0776719785
13836.6194184	-36.5412801097
14488.7192015	-37.0859744673
15171.5515006	-37.6805283719
15886.5646945	-38.2285028108
16635.2754221	-38.8546181247
17419.2717991	-39.4642485789
18240.2167871	-40.1538894264
19099.8517204	-40.7494147772
20000	-41.5744443375
