# Tube Screamer — Drive max, Tone 1 o'clock, Level MAX (100%). Reference 0 dB for the taper.
Frequency (Hz)	Channel 1 Magnitude (dB)
20	-6.8884277416
20.942570961	-6.62660865797
21.9295639229	-6.40809878532
22.9630724299	-6.21667282075
24.0452886923	-6.04160714712
25.1785082359	-5.88188271072
26.3651347711	-5.73577054019
27.6076852921	-5.60192777988
28.9087954149	-5.48266185975
30.2712249687	-5.38550636478
31.6978638492	-5.29760969965
33.1917381488	-5.21994101601
34.756016575	-5.14200352961
36.3940171722	-5.07127139071
38.1092143593	-5.00661799911
39.9052462994	-4.94730209186
41.7859226171	-4.89126632925
43.755232479	-4.83781665254
45.8173530554	-4.78910194682
47.9766583804	-4.74228023299
50.2377286302	-4.69382093403
52.6053598379	-4.65056235638
55.0845740668	-4.61040213476
57.6806300625	-4.57077559351
60.399034408	-4.53055149675
63.2455532034	-4.49430328911
66.2262242965	-4.45770723442
69.3473700905	-4.42104949045
72.615610954	-4.3846515856
76.0378792641	-4.35140537407
79.6214341107	-4.31563321748
83.3738766941	-4.28174417992
87.303166448	-4.24868189288
91.417637923	-4.21670905071
95.7260184645	-4.18428195446
100.237446725	-4.15380198416
104.96149205	-4.12478842609
109.908174772	-4.09617469921
115.087987467	-4.06908167226
120.511917215	-4.04135414712
126.191468896	-4.01396009083
132.138689602	-3.98813364957
138.366194184	-3.96160000192
144.887192015	-3.93525715008
151.715515006	-3.91020556467
158.865646945	-3.88376118554
166.352754221	-3.85769760722
174.192717991	-3.83018697448
182.402167871	-3.80589546284
190.998517204	-3.78040741211
200	-3.75556849401
209.42570961	-3.73012392268
219.295639229	-3.70634759007
229.630724299	-3.68554020068
240.452886923	-3.66430658341
251.785082359	-3.64582072319
263.651347711	-3.63039972409
276.076852921	-3.6178754232
289.087954149	-3.60736645317
302.712249687	-3.60221225623
316.978638492	-3.60569540971
331.917381488	-3.61026130127
347.56016575	-3.62696510735
363.940171722	-3.65088226901
381.092143593	-3.69077193748
399.052462994	-3.74578957402
417.859226171	-3.81109773623
437.55232479	-3.88499451852
458.173530554	-3.96621882973
479.766583804	-4.05678944351
502.377286302	-4.15169496189
526.053598379	-4.26074906069
550.845740668	-4.37647035433
576.806300625	-4.50115265344
603.99034408	-4.63668479761
632.455532034	-4.77947326885
662.262242965	-4.93397928051
693.473700905	-5.09670088541
726.15610954	-5.26929139815
760.378792641	-5.45555221724
796.214341107	-5.6494777008
833.738766941	-5.85364669272
873.03166448	-6.0687200211
914.17637923	-6.29332866698
957.260184645	-6.52698612777
1002.37446725	-6.77024643412
1049.6149205	-7.0231082273
1099.08174772	-7.28433695605
1150.87987467	-7.55285798463
1205.11917215	-7.83238986362
1261.91468896	-8.11843322419
1321.38689602	-8.41261511029
1383.66194184	-8.71282149814
1448.87192015	-9.02142277461
1517.15515006	-9.3337871803
1588.65646945	-9.65642023969
1663.52754221	-9.9826659545
1741.92717991	-10.3090751931
1824.02167871	-10.6483068469
1909.98517204	-10.9898676578
2000	-11.3370928513
2094.2570961	-11.6927052937
2192.95639229	-12.0412085071
2296.30724299	-12.3977646896
2404.52886923	-12.7567416205
2517.85082359	-13.1176979489
2636.51347711	-13.4888388554
2760.76852921	-13.8531658452
2890.87954149	-14.2212747335
3027.12249687	-14.5998607819
3169.78638492	-14.9732831062
3319.17381488	-15.351879713
3475.6016575	-15.7486315747
3639.40171722	-16.1127257557
3810.92143593	-16.49249016
3990.52462994	-16.8809122717
4178.59226171	-17.2668761184
4375.5232479	-17.6580295184
4581.73530554	-18.0516405954
4797.66583804	-18.4388960144
5023.77286302	-18.8232773442
5260.53598379	-19.2069775969
5508.45740668	-19.5922655348
5768.06300625	-19.9793626913
6039.9034408	-20.3815739572
6324.55532034	-20.7883047734
6622.62242965	-21.1840150481
6934.73700905	-21.5969311414
7261.5610954	-21.9982219259
7603.78792641	-22.3914495082
7962.14341107	-22.780850061
8337.38766941	-23.1812332719
8730.3166448	-23.5587394233
9141.7637923	-23.9818454763
9572.60184645	-24.3657694831
10023.7446725	-24.7686264214
10496.149205	-25.1518367907
10990.8174772	-25.5543252505
11508.7987467	-25.9840860052
12051.1917215	-26.3529279104
12619.1468896	-26.7661060838
13213.8689602	-27.1542129917
13836.6194184	-27.5735929209
14488.7192015	-27.9729151791
15171.5515006	-28.413576257
15886.5646945	-28.7626645027
16635.2754221	-29.1850469012
17419.2717991	-29.5692174286
18240.2167871	-29.9710159365
19099.8517204	-30.3541536725
20000	-30.7804374476
