# Tube Screamer — Drive MIN, Tone open, Level max. Gain-min reference (near unity,
# peak -2.45 dB @ ~780 Hz, mid hump). MIDI-OD gain-min was matched to this level.
Frequency (Hz)	Channel 1 Magnitude (dB)
20.000000000000014	-6.909493779309436
21.006129783328298	-6.633616605022661
22.06287442370156	-6.39915079752233
23.172780176877456	-6.193596236366858
24.33852139180121	-6.01011356093406
25.56290695452439	-5.844044464105993
26.848887056294192	-5.693600721462538
28.199560302121927	-5.558775711686355
29.61818117695826	-5.439284720825672
31.10816788746576	-5.331416649137681
32.67311059828354	-5.237394050348355
34.316780082629144	-5.155098654107504
36.043136808082096	-5.077178097642014
37.85634047944145	-5.009383951688343
39.76076006165051	-4.946364736978289
41.760984306940315	-4.8879066779419835
43.86183281155615	-4.83429147118904
46.06836762870976	-4.784134634549627
48.385905465737814	-4.738587551866325
50.820030494857036	-4.697473031996818
53.37660780838338	-4.656600599107156
56.061797550835756	-4.6176210444164685
58.8820697619765	-4.578792976794105
61.8442199665534	-4.542731304358958
64.95538554830607	-4.508246774571606
68.22306294769217	-4.475276445757071
71.65512572476975	-4.438687150894542
75.25984353076092	-4.405777023119785
79.04590203400707	-4.374438618920681
83.02242384833035	-4.343648030908891
87.19899051422561	-4.312100623985231
91.58566558585183	-4.280976311915384
96.1930188794452	-4.25043780446191
101.03215194158867	-4.21943894377948
106.11472479869758	-4.1894991831073245
111.45298405218026	-4.157768550258078
117.05979238696564	-4.128621688564621
122.9486595645032	-4.098803908188405
129.13377497490998	-4.067615037183073
135.6300418267033	-4.039768943146397
142.4531130564986	-4.00833300225654
149.61942904519714	-3.975240372359627
157.1462572315444	-3.9468573462904692
165.05173371850557	-3.9139080660483256
173.35490697271322	-3.8769193510196036
182.07578372228073	-3.8376907498413586
191.23537716357177	-3.7989488080405587
200.85575759308608	-3.759268983232504
210.96010558645432	-3.717249097874054
221.57276785268505	-3.671459788676161
232.71931589823802	-3.6239062385182166
244.42660764228825	-3.5754360343604845
256.7228521316278	-3.5246338268575745
269.6376775111587	-3.4697692873439054
283.2022024137303	-3.413764551178074
297.4491109413614	-3.357056635480908
312.41273141849217	-3.299243563072161
328.12911910704617	-3.2391334384966926
344.63614308258957	-3.1778615393142218
361.9735774809283	-3.1186325421439487
380.18319733500056	-3.055722243730829
399.3088792329864	-2.996131705543989
419.3967070401735	-2.937811472965555
440.4950829393192	-2.8826138036883417
462.6548440570647	-2.8312290371371516
485.92938495740987	-2.7823829529502495
510.37478629741196	-2.7379631931063706
536.0499499550933	-2.69707021110059
563.0167409551656	-2.6604011830559786
591.3401365345361	-2.625111431000364
621.0883827067764	-2.593446332860727
652.3331587028001	-2.5643204148769163
685.1497496839747	-2.538255104020192
719.6172281438229	-2.514998551689386
755.8186444354042	-2.4928711624542306
793.8412268834675	-2.4770350828373964
833.776591963533	-2.46473631206105
875.7209650543555	-2.4563591373693554
919.7754122956635	-2.4494557003748643
966.0460841098488	-2.4467066497878394
1014.6444709743774	-2.4493763964547863
1065.687672061211	-2.455480024150553
1119.2986773905388	-2.463372723432876
1175.606664178667	-2.4760503235482494
1234.7473080941343	-2.4930072870521425
1296.86311017203	-2.51214535215035
1362.103740174221	-2.532171470023949
1430.6263972228269	-2.5548284731916877
1502.5961885759018	-2.5786050166149344
1578.1865274579905	-2.608840412400766
1657.5795509041352	-2.6363872273226607
1740.9665586241626	-2.6716330254987515
1828.5484739446772	-2.7035203588824332
1920.5363279394367	-2.7456512013762007
2017.1517679146255	-2.7866384402164988
2118.627591474234	-2.8352178515691824
2225.208307452397	-2.8878331359925244
2337.1507250642644	-2.943512046353209
2454.7245726949864	-3.006332338967929
2578.2131478177967	-3.0739294266355843
2707.913999607197	-3.150732520408377
2844.139645892016	-3.2357306440941547
2987.218326175849	-3.3286184648118695
3137.4947925393258	-3.4284713232422375
3295.3311403298835	-3.5366975347737117
3461.1076806406345	-3.664286593050656
3635.2238566805727	-3.805403186983982
3818.0992062441615	-3.953007631108302
4010.174372599375	-4.109757122734959
4211.912166229978	-4.286708869824114
4423.79867999031	-4.4635687945267986
4646.344460359637	-4.659193844366291
4880.085737618144	-4.878966240257001
5125.5857179088	-5.080719596562796
5383.435940298302	-5.305634017609932
5654.257702107001	-5.545154671191266
5938.703555942156	-5.793235802284591
6237.4588820417	-6.049391184129006
6551.24353971708	-6.3129037216388735
6880.8136018743935	-6.585212776493151
7226.963176793197	-6.859756071460731
7590.526321552619	-7.148705833978979
7972.379051715182	-7.445576955488956
8373.441452110832	-7.745581813525147
8794.679893807044	-8.059650719958967
9237.109362606921	-8.367436643359063
9701.795904685883	-8.689606084969665
10189.859195259718	-9.025571783639574
10702.475236473329	-9.349236519234394
11240.879191010781	-9.682402152674326
11806.368358254327	-10.030164750346703
12400.305300163534	-10.371089011186116
13024.121124406443	-10.726011625086649
13679.31893265345	-11.076768889792623
14367.477442342895	-11.437845965647856
15090.254790644809	-11.801905805107271
15849.3925297888	-12.165613314616092
16646.719823382857	-12.53180487691611
17484.157853834182	-12.89831649785324
18363.724451491955	-13.287726757126572
19287.538956665932	-13.642389644301582
20257.827326236227	-14.02047615845849
21276.927497158606	-14.402881129916336
22347.295019788977	-14.784045904290998
23471.508974600656	-15.158971040554166
24652.27818655078	-15.547937736611248
25892.447752069904	-15.917901589285194
27195.005894401333	-16.308640372041793
28563.091163808585	-16.685677446627153
30000	-17.066809069285878
